X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING
-8285948.0584,4773319.0247,15,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,507,ATLANTIC CITY,10067,NS,E,
-8285948.0584,4773319.0247,16,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,508,ATLANTIC CITY,10067,NS,E,
-8285948.0584,4773319.0247,17,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,509,ATLANTIC CITY,10067,NS,E,
-8285671.5852,4773466.2913,18,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,501,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,19,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,502,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,20,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,504,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,21,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,505,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,22,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,507,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,23,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,508,ATLANTIC CITY,10068,FS,E,
-8285671.5852,4773466.2913,24,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,509,ATLANTIC CITY,10068,FS,E,
-8285527.8966,4773541.0894,25,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,501,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,26,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,502,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,27,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,504,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,28,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,505,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,29,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,507,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,30,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,508,ATLANTIC CITY,10069,FS,E,
-8285527.8966,4773541.0894,31,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,509,ATLANTIC CITY,10069,FS,E,
-8285391.2951,4773615.6007,32,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,501,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,33,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,502,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,34,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,504,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,35,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,505,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,36,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,507,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,37,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,508,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,38,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,509,ATLANTIC CITY,10070,FS,E,
-8285391.2951,4773615.6007,39,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,513,ATLANTIC CITY,10070,FS,E,
-8285114.9238,4773766.9044,40,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,Ou,39.3627,-74.42642,505,ATLANTIC CITY,10072,FS,E,
-8284839.9638,4773906.9579,41,Atlantic,ATLANTIC AVE AT PENNSYLVANIA AVE,Ou,39.36369,-74.42396,505,ATLANTIC CITY,10073,FS,E,
-8284692.9397,4773981.6379,42,Atlantic,ATLANTIC AVE AT VIRGINIA AVE,Ou,39.36421,-74.42264,505,ATLANTIC CITY,10074,FS,E,
-8284557.2847,4774055.1743,43,Atlantic,ATLANTIC AVE AT MARYLAND AVE,Ou,39.36472,-74.42142,505,ATLANTIC CITY,10075,FS,E,
-8284279.9561,4774200.5935,44,Atlantic,ATLANTIC AVE AT NEW JERSEY AVE,Ou,39.36573,-74.41893,505,ATLANTIC CITY,10076,FS,E,
-8283991.9377,4774348.7504,45,Atlantic,ATLANTIC AVE AT MASSACHUSETTS AVE,Ou,39.36677,-74.41635,505,ATLANTIC CITY,10077,FS,E,
-8283717.808,4774489.149,46,Atlantic,ATLANTIC AVE AT VERMONT AVE,Ou,39.36778,-74.41391,505,ATLANTIC CITY,10078,FS,E,
-8283790.7854,4774478.8566,47,Atlantic,ATLANTIC AVE AT VERMONT AVE,In,39.3677,-74.41456,505,ATLANTIC CITY,10079,FS,W,
-8284077.9405,4774331.0169,48,Atlantic,ATLANTIC AVE AT MASSACHUSETTS AVE,In,39.36663,-74.41711,505,ATLANTIC CITY,10080,FS,W,
-8284364.9779,4774183.2095,49,Atlantic,ATLANTIC AVE AT NEW JERSEY AVE,In,39.36562,-74.4197,505,ATLANTIC CITY,10081,FS,W,
-8284641.1525,4774036.3072,50,Atlantic,ATLANTIC AVE AT MARYLAND AVE,In,39.3646,-74.42218,505,ATLANTIC CITY,10082,FS,W,
-8284776.1344,4773965.952,51,Atlantic,ATLANTIC AVE AT VIRGINIA AVE,In,39.36412,-74.4234,505,ATLANTIC CITY,10083,FS,W,
-8284923.704,4773890.8457,52,Atlantic,ATLANTIC AVE AT PENNSYLVANIA AVE,In,39.36359,-74.42472,505,ATLANTIC CITY,10084,FS,W,
-8285142.9606,4773779.1385,53,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,501,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,54,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,502,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,55,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,504,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,56,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,505,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,57,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,507,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,58,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,508,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,59,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,509,ATLANTIC CITY,10085,NS,W,
-8285142.9606,4773779.1385,60,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,554,ATLANTIC CITY,10085,NS,W,
-8285346.3443,4773668.1165,61,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,501,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,62,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,502,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,63,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,504,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,64,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,505,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,65,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,507,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,66,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,508,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,67,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,509,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,68,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,513,ATLANTIC CITY,10086,FS,W,
-8285346.3443,4773668.1165,69,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,554,ATLANTIC CITY,10086,FS,W,
-8285463.6563,4773602.3641,70,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,501,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,71,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,502,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,72,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,504,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,73,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,505,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,74,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,507,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,75,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,508,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,76,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,509,ATLANTIC CITY,10087,FS,W,
-8285463.6563,4773602.3641,77,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,554,ATLANTIC CITY,10087,FS,W,
-8285761.5304,4773445.1453,78,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,501,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,79,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,502,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,80,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,504,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,81,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,505,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,82,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,507,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,83,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,508,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,84,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,509,ATLANTIC CITY,10089,FS,W,
-8285761.5304,4773445.1453,85,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,554,ATLANTIC CITY,10089,FS,W,
-8286051.5387,4773290.7298,86,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,501,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,87,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,502,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,88,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,504,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,89,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,505,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,90,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,507,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,91,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,508,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,92,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,509,ATLANTIC CITY,10090,FS,W,
-8286051.5387,4773290.7298,93,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,554,ATLANTIC CITY,10090,FS,W,
-8286862.7219,4772871.1136,94,Atlantic,ATLANTIC AVE AT FLORIDA AVE,In,39.35654,-74.44216,505,ATLANTIC CITY,10092,FS,W,
-8286862.7219,4772871.1136,95,Atlantic,ATLANTIC AVE AT FLORIDA AVE,In,39.35654,-74.44216,507,ATLANTIC CITY,10092,FS,W,
-8286862.7219,4772871.1136,96,Atlantic,ATLANTIC AVE AT FLORIDA AVE,In,39.35654,-74.44216,508,ATLANTIC CITY,10092,FS,W,
-8286862.7219,4772871.1136,97,Atlantic,ATLANTIC AVE AT FLORIDA AVE,In,39.35654,-74.44216,509,ATLANTIC CITY,10092,FS,W,
-8287162.3446,4772714.5002,98,Atlantic,ATLANTIC AVE AT CALIFORNIA AVE,In,39.35545,-74.44485,505,ATLANTIC CITY,10093,FS,W,
-8287162.3446,4772714.5002,99,Atlantic,ATLANTIC AVE AT CALIFORNIA AVE,In,39.35545,-74.44485,507,ATLANTIC CITY,10093,FS,W,
-8287162.3446,4772714.5002,100,Atlantic,ATLANTIC AVE AT CALIFORNIA AVE,In,39.35545,-74.44485,508,ATLANTIC CITY,10093,FS,W,
-8287162.3446,4772714.5002,101,Atlantic,ATLANTIC AVE AT CALIFORNIA AVE,In,39.35545,-74.44485,509,ATLANTIC CITY,10093,FS,W,
-8287449.0023,4772565.8785,102,Atlantic,ATLANTIC AVE AT BRIGHTON AVE,In,39.35441,-74.44742,505,ATLANTIC CITY,10094,FS,W,
-8287449.0023,4772565.8785,103,Atlantic,ATLANTIC AVE AT BRIGHTON AVE,In,39.35441,-74.44742,507,ATLANTIC CITY,10094,FS,W,
-8287449.0023,4772565.8785,104,Atlantic,ATLANTIC AVE AT BRIGHTON AVE,In,39.35441,-74.44742,508,ATLANTIC CITY,10094,FS,W,
-8287449.0023,4772565.8785,105,Atlantic,ATLANTIC AVE AT BRIGHTON AVE,In,39.35441,-74.44742,509,ATLANTIC CITY,10094,FS,W,
-8287552.83,4772509.6229,106,Atlantic,ATLANTIC AVE AT MORRIS AVE,In,39.35403,-74.44836,505,ATLANTIC CITY,10095,FS,W,
-8287552.83,4772509.6229,107,Atlantic,ATLANTIC AVE AT MORRIS AVE,In,39.35403,-74.44836,507,ATLANTIC CITY,10095,FS,W,
-8287552.83,4772509.6229,108,Atlantic,ATLANTIC AVE AT MORRIS AVE,In,39.35403,-74.44836,508,ATLANTIC CITY,10095,FS,W,
-8287552.83,4772509.6229,109,Atlantic,ATLANTIC AVE AT MORRIS AVE,In,39.35403,-74.44836,509,ATLANTIC CITY,10095,FS,W,
-8287660.4207,4772453.4218,110,Atlantic,ATLANTIC AVE AT CHELSEA AVE,In,39.35363,-74.44932,505,ATLANTIC CITY,10096,FS,W,
-8287660.4207,4772453.4218,111,Atlantic,ATLANTIC AVE AT CHELSEA AVE,In,39.35363,-74.44932,507,ATLANTIC CITY,10096,FS,W,
-8287660.4207,4772453.4218,112,Atlantic,ATLANTIC AVE AT CHELSEA AVE,In,39.35363,-74.44932,508,ATLANTIC CITY,10096,FS,W,
-8287660.4207,4772453.4218,113,Atlantic,ATLANTIC AVE AT CHELSEA AVE,In,39.35363,-74.44932,509,ATLANTIC CITY,10096,FS,W,
-8287769.7032,4772395.4775,114,Atlantic,ATLANTIC AVE AT MONTPELIER AVE,In,39.35324,-74.45031,505,ATLANTIC CITY,10097,FS,W,
-8287769.7032,4772395.4775,115,Atlantic,ATLANTIC AVE AT MONTPELIER AVE,In,39.35324,-74.45031,507,ATLANTIC CITY,10097,FS,W,
-8287769.7032,4772395.4775,116,Atlantic,ATLANTIC AVE AT MONTPELIER AVE,In,39.35324,-74.45031,508,ATLANTIC CITY,10097,FS,W,
-8287769.7032,4772395.4775,117,Atlantic,ATLANTIC AVE AT MONTPELIER AVE,In,39.35324,-74.45031,509,ATLANTIC CITY,10097,FS,W,
-8293727.6544,4783502.8317,118,Atlantic,NEW RD AT DELAWARE AVE,Ou,39.43031,-74.5038,508,ABSECON,10001,FS,S,
-8293854.5797,4783351.4728,119,Atlantic,NEW RD AT NEW JERSEY AVE,Ou,39.42928,-74.50494,508,ABSECON,10002,NS,S,
-8294011.0965,4782960.4831,120,Atlantic,NEW RD AT OHIO AVE,Ou,39.42656,-74.50632,508,ABSECON,10003,NS,S,
-8294011.0965,4782960.4831,121,Atlantic,NEW RD AT OHIO AVE,Ou,39.42656,-74.50632,554,ABSECON,10003,NS,S,
-8294409.5545,4781908.0426,122,Atlantic,NEW RD AT MEADOWVIEW AVE,Ou,39.41926,-74.50991,508,ABSECON,10004,FS,S,
-8294409.5545,4781908.0426,123,Atlantic,NEW RD AT MEADOWVIEW AVE,Ou,39.41926,-74.50991,554,ABSECON,10004,FS,S,
-8294380.8152,4781914.7699,124,Atlantic,NEW RD AT MEADOWVIEW AVE,In,39.41934,-74.50975,508,ABSECON,10006,NS,N,
-8294380.8152,4781914.7699,125,Atlantic,NEW RD AT MEADOWVIEW AVE,In,39.41934,-74.50975,554,ABSECON,10006,NS,N,
-8294005.9372,4782909.0292,126,Atlantic,NEW RD AT OHIO AVE,In,39.42623,-74.50636,508,ABSECON,10007,NS,N,
-8294005.9372,4782909.0292,127,Atlantic,NEW RD AT OHIO AVE,In,39.42623,-74.50636,554,ABSECON,10007,NS,N,
-8293641.8848,4783527.6296,128,Atlantic,NEW RD AT DELAWARE AVE,In,39.43057,-74.5031,508,ABSECON,10008,FS,N,
-8295106.6679,4784231.0185,129,Atlantic,US-30 at HADDON AVE,Ou,39.43537,-74.51624,554,ABSECON,10009,FS,E,
-8294596.6483,4783769.8531,130,Atlantic,US-30 at MILL RD,Ou,39.43215,-74.51168,554,ABSECON,10010,NS,E,
-8294237.5146,4783445.5933,131,Atlantic,US-30 at MICHIGAN AVE,Ou,39.42991,-74.50844,554,ABSECON,10011,FS,E,
-8293828.1492,4783079.2044,132,Atlantic,US-30 at NEW RD,Ou,39.42738,-74.50475,554,ABSECON,10012,FS,E,
-8293345.2429,4782551.4167,133,Atlantic,WHITE HORSE PIKE AT STATION AVE,Ou,39.42373,-74.5004,554,ABSECON,10013,FS,E,
-8293959.7989,4783228.2181,134,Atlantic,US-30 at NEW RD,In,39.42845,-74.50589,554,ABSECON,10014,FS,W,
-8294239.0766,4783478.5643,135,Atlantic,US-30 at MICHIGAN AVE,In,39.43016,-74.50843,554,ABSECON,10015,NS,W,
-8294563.5381,4783771.4223,136,Atlantic,US-30 at MILL RD,In,39.43223,-74.5113,554,ABSECON,10016,FS,W,
-8295104.4337,4784262.6882,137,Atlantic,US-30 at HADDON AVE,In,39.43562,-74.51618,554,ABSECON,10017,NS,W,
-8293486.4904,4781555.2659,138,Atlantic,SHORE RD AT LEE AVE,In,39.41685,-74.50172,554,ABSECON,10018,NS,N,
-8293486.4904,4781555.2659,139,Atlantic,SHORE RD AT LEE AVE,In,39.41685,-74.50172,559,ABSECON,10018,NS,N,
-8293292.9301,4782108.7432,140,Atlantic,SHORE RD AT ILLINOIS AVE,In,39.42067,-74.49997,554,ABSECON,10019,FS,N,
-8293292.9301,4782108.7432,141,Atlantic,SHORE RD AT ILLINOIS AVE,In,39.42067,-74.49997,559,ABSECON,10019,FS,N,
-8292917.8597,4783106.267,142,Atlantic,SHORE RD AT NATALIE TERRACE,In,39.42761,-74.4966,559,ABSECON,10020,FS,N,
-8292309.8056,4783700.1011,143,Atlantic,SHORE RD AT CORDOVA DR,In,39.43173,-74.49111,559,ABSECON,10021,NS,N,
-8291696.8717,4784225.3845,144,Atlantic,SHORE RD AT KESLER DR,In,39.43538,-74.48561,508,ABSECON,10022,FS,N,
-8291696.8717,4784225.3845,145,Atlantic,SHORE RD AT KESLER DR,In,39.43538,-74.48561,559,ABSECON,10022,FS,N,
-8291817.8677,4784154.7136,146,Atlantic,SHORE RD AT BAYVIEW DR,Ou,39.4348,-74.4866,508,ABSECON,10023,NS,S,
-8291817.8677,4784154.7136,147,Atlantic,SHORE RD AT BAYVIEW DR,Ou,39.4348,-74.4866,559,ABSECON,10023,NS,S,
-8292336.8753,4783708.2214,148,Atlantic,SHORE RD AT CHEROKEE DR,Ou,39.43171,-74.49127,559,ABSECON,10024,NS,S,
-8292946.7243,4783102.9457,149,Atlantic,SHORE RD AT NATALIE TERRACE,Ou,39.42754,-74.49675,559,ABSECON,10025,NS,S,
-8293119.4353,4782801.9675,150,Atlantic,SHORE RD AT CHURCH ST,Ou,39.42545,-74.4983,559,ABSECON,10026,NS,S,
-8293321.1802,4782064.0241,151,Atlantic,SHORE RD AT ILLINOIS AVE,Ou,39.42035,-74.5001,554,ABSECON,10027,NS,S,
-8293484.0383,4781617.1829,152,Atlantic,SHORE RD AT LEE AVE,Ou,39.41723,-74.50157,554,ABSECON,10028,NS,S,
-8293484.0383,4781617.1829,153,Atlantic,SHORE RD AT LEE AVE,Ou,39.41723,-74.50157,559,ABSECON,10028,NS,S,
-8293733.083,4781102.312,154,Atlantic,SHORE RD AT CALIFORNIA AVE,Ou,39.41365,-74.50379,554,ABSECON,10029,NS,S,
-8293733.083,4781102.312,155,Atlantic,SHORE RD AT CALIFORNIA AVE,Ou,39.41365,-74.50379,559,ABSECON,10029,NS,S,
-8292194.2848,4783886.6706,156,Atlantic,WYOMING AVE AT BAYVIEW DR,Ou,39.43293,-74.49004,508,ABSECON,10030,NS,W,
-8293144.7671,4783781.7876,157,Atlantic,WYOMING AVE AT PITNEY RD,Ou,39.43223,-74.49858,508,ABSECON,10031,NS,W,
-8293144.7455,4783757.8769,158,Atlantic,WYOMING AVE AT PITNEY RD,In,39.43213,-74.49859,508,ABSECON,10032,FS,E,
-8292230.6544,4783858.8639,159,Atlantic,WYOMING AVE AT BAYVIEW DR,In,39.43284,-74.49038,508,ABSECON,10033,NS,E,
-8292978.6081,4785289.6405,160,Atlantic,PREFERRED CARE AT ABSECON,In,39.44266,-74.49717,508,ABSECON,10034,TM,N,
-8293420.4198,4782572.8818,161,Atlantic,STATION AVE AT WHITE HORSE PIKE,In,39.42392,-74.50109,554,ABSECON,10035,NS,N,
-8286094.1464,4774245.1419,162,Atlantic,ADRIATIC AVE AT MARTIN LUTHER KING BLVD,In,39.36609,-74.43526,505,ATLANTIC CITY,10038,FS,E,
-8285935.4026,4774325.9666,163,Atlantic,ADRIATIC AVE AT KENTUCKY AVE,In,39.36666,-74.43384,505,ATLANTIC CITY,10039,FS,E,
-8285795.3822,4774398.3834,164,Atlantic,ADRIATIC AVE AT NEW YORK AVE,In,39.36716,-74.43258,505,ATLANTIC CITY,10040,FS,E,
-8285665.3959,4774466.7365,165,Atlantic,ADRIATIC AVE AT TENNESSEE AVE,In,39.36763,-74.43141,505,ATLANTIC CITY,10041,FS,E,
-8285495.1833,4774556.049,166,Atlantic,ADRIATIC AVE AT SOUTH CAROLINA AVE,In,39.36825,-74.42988,505,ATLANTIC CITY,10042,FS,E,
-8284930.6692,4774852.4152,167,Atlantic,ADRIATIC AVE AT DELTA AVE,In,39.37031,-74.42481,504,ATLANTIC CITY,10043,NS,E,
-8285731.2106,4774458.1947,168,Atlantic,ADRIATIC AVE AT TENNESSEE AVE,Ou,39.36754,-74.43198,505,ATLANTIC CITY,10044,FS,W,
-8285886.8412,4774377.8985,169,Atlantic,ADRIATIC AVE AT NEW YORK AVE,Ou,39.36697,-74.43337,505,ATLANTIC CITY,10045,FS,W,
-8287786.6736,4772639.9181,170,Atlantic,ARCTIC AVE AT MONTPELIER AVE,Ou,39.35498,-74.45049,504,ATLANTIC CITY,10048,FS,E,
-8287331.3147,4772878.0038,171,Atlantic,ARCTIC AVE AT IOWA AVE,Ou,39.35663,-74.4464,504,ATLANTIC CITY,10050,FS,E,
-8287184.7645,4772956.5445,172,Atlantic,ARCTIC AVE AT CALIFORNIA AVE,Ou,39.35716,-74.44507,504,ATLANTIC CITY,10051,FS,E,
-8287039.5051,4773031.3489,173,Atlantic,ARCTIC AVE AT TEXAS AVE,Ou,39.35767,-74.44376,504,ATLANTIC CITY,10052,FS,E,
